pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,type1,type2,height_m,weight_kg,generation,is_legendary
115,Kangaskhan,105,125,100,60,100,100,normal,,2.2,80,1,0
116,Horsea,30,40,70,70,25,60,water,,0.4,8,1,0
117,Seadra,55,65,95,95,45,85,water,,1.2,25,1,0
118,Goldeen,45,67,60,35,50,63,water,,0.6,15,1,0
119,Seaking,80,92,65,65,80,68,water,,1.3,39,1,0
120,Staryu,30,45,55,70,55,85,water,,0.8,34.5,1,0
121,Starmie,60,75,85,100,85,115,water,psychic,1.1,80,1,0
122,Mr. Mime,40,45,65,100,120,90,psychic,fairy,1.3,54.5,1,0
123,Scyther,70,110,80,55,80,105,bug,flying,1.5,56,1,0
124,Jynx,65,50,35,115,95,95,ice,psychic,1.4,40.6,1,0
125,Electabuzz,65,83,57,95,85,105,electric,,1.1,30,1,0
126,Magmar,65,95,57,100,85,93,fire,,1.3,44.5,1,0
127,Pinsir,65,155,120,65,90,105,bug,,1.5,55,1,0
128,Tauros,75,100,95,40,70,110,normal,,1.4,88.4,1,0
129,Magikarp,20,10,55,15,20,80,water,,0.9,10,1,0
130,Gyarados,95,155,109,70,130,81,water,flying,6.5,235,1,0
131,Lapras,130,85,80,85,95,60,water,ice,2.5,220,1,0
132,Ditto,48,48,48,48,48,48,normal,,0.3,4,1,0
133,Eevee,55,55,50,45,65,55,normal,,0.3,6.5,1,0
134,Vaporeon,130,65,60,110,95,65,water,,1,29,1,0
135,Jolteon,65,65,60,110,95,130,electric,,0.8,24.5,1,0
136,Flareon,65,130,60,95,110,65,fire,,0.9,25,1,0
137,Porygon,65,60,70,85,75,40,normal,,0.8,36.5,1,0
138,Omanyte,35,40,100,90,55,35,rock,water,0.4,7.5,1,0
139,Omastar,70,60,125,115,70,55,rock,water,1,35,1,0
140,Kabuto,30,80,90,55,45,55,rock,water,0.5,11.5,1,0
141,Kabutops,60,115,105,65,70,80,rock,water,1.3,40.5,1,0
142,Aerodactyl,80,135,85,70,95,150,rock,flying,1.8,59,1,0
143,Snorlax,160,110,65,65,110,30,normal,,2.1,460,1,0
144,Articuno,90,85,100,95,125,85,ice,flying,1.7,55.4,1,1
145,Zapdos,90,90,85,125,90,100,electric,flying,1.6,52.6,1,1
146,Moltres,90,100,90,125,85,90,fire,flying,2,60,1,1
147,Dratini,41,64,45,50,50,50,dragon,,1.8,3.3,1,0
148,Dragonair,61,84,65,70,70,70,dragon,,4,16.5,1,0
149,Dragonite,91,134,95,100,100,80,dragon,flying,2.2,210,1,0
150,Mewtwo,106,150,70,194,120,140,psychic,,2,122,1,1
151,Mew,100,100,100,100,100,100,psychic,,0.4,4,1,1
152,Chikorita,45,49,65,49,65,45,grass,,0.9,6.4,2,0
153,Bayleef,60,62,80,63,80,60,grass,,1.2,15.8,2,0
154,Meganium,80,82,100,83,100,80,grass,,1.8,100.5,2,0
155,Cyndaquil,39,52,43,60,50,65,fire,,0.5,7.9,2,0
156,Quilava,58,64,58,80,65,80,fire,,0.9,19,2,0
157,Typhlosion,78,84,78,109,85,100,fire,,1.7,79.5,2,0
158,Totodile,50,65,64,44,48,43,water,,0.6,9.5,2,0
159,Croconaw,65,80,80,59,63,58,water,,1.1,25,2,0
160,Feraligatr,85,105,100,79,83,78,water,,2.3,88.8,2,0
161,Sentret,35,46,34,35,45,20,normal,,0.8,6,2,0
162,Furret,85,76,64,45,55,90,normal,,1.8,32.5,2,0
163,Hoothoot,60,30,30,36,56,50,normal,flying,0.7,21.2,2,0
164,Noctowl,100,50,50,86,96,70,normal,flying,1.6,40.8,2,0
165,Ledyba,40,20,30,40,80,55,bug,flying,1,10.8,2,0
166,Ledian,55,35,50,55,110,85,bug,flying,1.4,35.6,2,0
167,Spinarak,40,60,40,40,40,30,bug,poison,0.5,8.5,2,0
168,Ariados,70,90,70,60,70,40,bug,poison,1.1,33.5,2,0
169,Crobat,85,90,80,70,80,130,poison,flying,1.8,75,2,0
170,Chinchou,75,38,38,56,56,67,water,electric,0.5,12,2,0
171,Lanturn,125,58,58,76,76,67,water,electric,1.2,22.5,2,0
172,Pichu,20,40,15,35,35,60,electric,,0.3,2,2,0
173,Cleffa,50,25,28,45,55,15,fairy,,0.3,3,2,0
174,Igglybuff,90,30,15,40,20,15,normal,fairy,0.3,1,2,0
175,Togepi,35,20,65,40,65,20,fairy,,0.3,1.5,2,0
176,Togetic,55,40,85,80,105,40,fairy,flying,0.6,3.2,2,0
177,Natu,40,50,45,70,45,70,psychic,flying,0.2,2,2,0
178,Xatu,65,75,70,95,70,95,psychic,flying,1.5,15,2,0
179,Mareep,55,40,40,65,45,35,electric,,0.6,7.8,2,0
180,Flaaffy,70,55,55,80,60,45,electric,,0.8,13.3,2,0
181,Ampharos,90,95,105,165,110,45,electric,,1.4,61.5,2,0
182,Bellossom,75,80,95,90,100,50,grass,,0.4,5.8,2,0
183,Marill,70,20,50,20,50,40,water,fairy,0.4,8.5,2,0
184,Azumarill,100,50,80,60,80,50,water,fairy,0.8,28.5,2,0
185,Sudowoodo,70,100,115,30,65,30,rock,,1.2,38,2,0
186,Politoed,90,75,75,90,100,70,water,,1.1,33.9,2,0
187,Hoppip,35,35,40,35,55,50,grass,flying,0.4,0.5,2,0
188,Skiploom,55,45,50,45,65,80,grass,flying,0.6,1,2,0
189,Jumpluff,75,55,70,55,95,110,grass,flying,0.8,3,2,0
190,Aipom,55,70,55,40,55,85,normal,,0.8,11.5,2,0
191,Sunkern,30,30,30,30,30,30,grass,,0.3,1.8,2,0
192,Sunflora,75,75,55,105,85,30,grass,,0.8,8.5,2,0
193,Yanma,65,65,45,75,45,95,bug,flying,1.2,38,2,0
194,Wooper,55,45,45,25,25,15,water,ground,0.4,8.5,2,0
195,Quagsire,95,85,85,65,65,35,water,ground,1.4,75,2,0
196,Espeon,65,65,60,130,95,110,psychic,,0.9,26.5,2,0
197,Umbreon,95,65,110,60,130,65,dark,,1,27,2,0
198,Murkrow,60,85,42,85,42,91,dark,flying,0.5,2.1,2,0
199,Slowking,95,75,80,100,110,30,water,psychic,2,79.5,2,0
200,Misdreavus,60,60,60,85,85,85,ghost,,0.7,1,2,0
201,Unown,48,72,48,72,48,48,psychic,,0.5,5,2,0
202,Wobbuffet,190,33,58,33,58,33,psychic,,1.3,28.5,2,0
203,Girafarig,70,80,65,90,65,85,normal,psychic,1.5,41.5,2,0
204,Pineco,50,65,90,35,35,15,bug,,0.6,7.2,2,0
205,Forretress,75,90,140,60,60,40,bug,steel,1.2,125.8,2,0
206,Dunsparce,100,70,70,65,65,45,normal,,1.5,14,2,0
207,Gligar,65,75,105,35,65,85,ground,flying,1.1,64.8,2,0
208,Steelix,75,125,230,55,95,30,steel,ground,9.2,400,2,0
209,Snubbull,60,80,50,40,40,30,fairy,,0.6,7.8,2,0
210,Granbull,90,120,75,60,60,45,fairy,,1.4,48.7,2,0
211,Qwilfish,65,95,85,55,55,85,water,poison,0.5,3.9,2,0
212,Scizor,70,150,140,65,100,75,bug,steel,1.8,118,2,0
213,Shuckle,20,10,230,10,230,5,bug,rock,0.6,20.5,2,0
214,Heracross,80,185,115,40,105,75,bug,fighting,1.5,54,2,0
215,Sneasel,55,95,55,35,75,115,dark,ice,0.9,28,2,0
216,Teddiursa,60,80,50,50,50,40,normal,,0.6,8.8,2,0
217,Ursaring,90,130,75,75,75,55,normal,,1.8,125.8,2,0
218,Slugma,40,40,40,70,40,20,fire,,0.7,35,2,0
219,Magcargo,60,50,120,90,80,30,fire,rock,0.8,55,2,0
220,Swinub,50,50,40,30,30,50,ice,ground,0.4,6.5,2,0
221,Piloswine,100,100,80,60,60,50,ice,ground,1.1,55.8,2,0
222,Corsola,65,55,95,65,95,35,water,rock,0.6,5,2,0
223,Remoraid,35,65,35,65,35,65,water,,0.6,12,2,0
224,Octillery,75,105,75,105,75,45,water,,0.9,28.5,2,0
225,Delibird,45,55,45,65,45,75,ice,flying,0.9,16,2,0
226,Mantine,85,40,70,80,140,70,water,flying,2.1,220,2,0
227,Skarmory,65,80,140,40,70,70,steel,flying,1.7,50.5,2,0
228,Houndour,45,60,30,80,50,65,dark,fire,0.6,10.8,2,0
229,Houndoom,75,90,90,140,90,115,dark,fire,1.4,35,2,0
230,Kingdra,75,95,95,95,95,85,water,dragon,1.8,152,2,0
231,Phanpy,90,60,60,40,40,40,ground,,0.5,33.5,2,0
232,Donphan,90,120,120,60,60,50,ground,,1.1,120,2,0
233,Porygon2,85,80,90,105,95,60,normal,,0.6,32.5,2,0
234,Stantler,73,95,62,85,65,85,normal,,1.4,71.2,2,0
235,Smeargle,55,20,35,20,45,75,normal,,1.2,58,2,0
236,Tyrogue,35,35,35,35,35,35,fighting,,0.7,21,2,0
237,Hitmontop,50,95,95,35,110,70,fighting,,1.4,48,2,0
238,Smoochum,45,30,15,85,65,65,ice,psychic,0.4,6,2,0
239,Elekid,45,63,37,65,55,95,electric,,0.6,23.5,2,0
240,Magby,45,75,37,70,55,83,fire,,0.7,21.4,2,0
241,Miltank,95,80,105,40,70,100,normal,,1.2,75.5,2,0
242,Blissey,255,10,10,75,135,55,normal,,1.5,46.8,2,0
243,Raikou,90,85,75,115,100,115,electric,,1.9,178,2,1
244,Entei,115,115,85,90,75,100,fire,,2.1,198,2,1
245,Suicune,100,75,115,90,115,85,water,,2,187,2,1
246,Larvitar,50,64,50,45,50,41,rock,ground,0.6,72,2,0
247,Pupitar,70,84,70,65,70,51,rock,ground,1.2,152,2,0
248,Tyranitar,100,164,150,95,120,71,rock,dark,2,202,2,0
249,Lugia,106,90,130,90,154,110,psychic,flying,5.2,216,2,1
250,Ho-Oh,106,130,90,110,154,90,fire,flying,3.8,199,2,1
251,Celebi,100,100,100,100,100,100,psychic,grass,0.6,5,2,1
252,Treecko,40,45,35,65,55,70,grass,,0.5,5,3,0
253,Grovyle,50,65,45,85,65,95,grass,,0.9,21.6,3,0
254,Sceptile,70,110,75,145,85,145,grass,,1.7,52.2,3,0
255,Torchic,45,60,40,70,50,45,fire,,0.4,2.5,3,0
256,Combusken,60,85,60,85,60,55,fire,fighting,0.9,19.5,3,0
257,Blaziken,80,160,80,130,80,100,fire,fighting,1.9,52,3,0
258,Mudkip,50,70,50,50,50,40,water,,0.4,7.6,3,0
259,Marshtomp,70,85,70,60,70,50,water,ground,0.7,28,3,0
260,Swampert,100,150,110,95,110,70,water,ground,1.5,81.9,3,0
261,Poochyena,35,55,35,30,30,35,dark,,0.5,13.6,3,0
262,Mightyena,70,90,70,60,60,70,dark,,1,37,3,0
263,Zigzagoon,38,30,41,30,41,60,normal,,0.4,17.5,3,0
264,Linoone,78,70,61,50,61,100,normal,,0.5,32.5,3,0
265,Wurmple,45,45,35,20,30,20,bug,,0.3,3.6,3,0
266,Silcoon,50,35,55,25,25,15,bug,,0.6,10,3,0
267,Beautifly,60,70,50,100,50,65,bug,flying,1,28.4,3,0
268,Cascoon,50,35,55,25,25,15,bug,,0.7,11.5,3,0
269,Dustox,60,50,70,50,90,65,bug,poison,1.2,31.6,3,0
270,Lotad,40,30,30,40,50,30,water,grass,0.5,2.6,3,0
271,Lombre,60,50,50,60,70,50,water,grass,1.2,32.5,3,0
272,Ludicolo,80,70,70,90,100,70,water,grass,1.5,55,3,0
273,Seedot,40,40,50,30,30,30,grass,,0.5,4,3,0
274,Nuzleaf,70,70,40,60,40,60,grass,dark,1,28,3,0
275,Shiftry,90,100,60,90,60,80,grass,dark,1.3,59.6,3,0
276,Taillow,40,55,30,30,30,85,normal,flying,0.3,2.3,3,0
277,Swellow,60,85,60,75,50,125,normal,flying,0.7,19.8,3,0
278,Wingull,40,30,30,55,30,85,water,flying,0.6,9.5,3,0
279,Pelipper,60,50,100,95,70,65,water,flying,1.2,28,3,0
280,Ralts,28,25,25,45,35,40,psychic,fairy,0.4,6.6,3,0
281,Kirlia,38,35,35,65,55,50,psychic,fairy,0.8,20.2,3,0
282,Gardevoir,68,85,65,165,135,100,psychic,fairy,1.6,48.4,3,0
283,Surskit,40,30,32,50,52,65,bug,water,0.5,1.7,3,0
284,Masquerain,70,60,62,100,82,80,bug,flying,0.8,3.6,3,0
285,Shroomish,60,40,60,40,60,35,grass,,0.4,4.5,3,0
286,Breloom,60,130,80,60,60,70,grass,fighting,1.2,39.2,3,0
287,Slakoth,60,60,60,35,35,30,normal,,0.8,24,3,0
288,Vigoroth,80,80,80,55,55,90,normal,,1.4,46.5,3,0
289,Slaking,150,160,100,95,65,100,normal,,2,130.5,3,0
290,Nincada,31,45,90,30,30,40,bug,ground,0.5,5.5,3,0
291,Ninjask,61,90,45,50,50,160,bug,flying,0.8,12,3,0
292,Shedinja,1,90,45,30,30,40,bug,ghost,0.8,1.2,3,0
293,Whismur,64,51,23,51,23,28,normal,,0.6,16.3,3,0
294,Loudred,84,71,43,71,43,48,normal,,1,40.5,3,0
295,Exploud,104,91,63,91,73,68,normal,,1.5,84,3,0
296,Makuhita,72,60,30,20,30,25,fighting,,1,86.4,3,0
297,Hariyama,144,120,60,40,60,50,fighting,,2.3,253.8,3,0
298,Azurill,50,20,40,20,40,20,normal,fairy,0.2,2,3,0
299,Nosepass,30,45,135,45,90,30,rock,,1,97,3,0
300,Skitty,50,45,45,35,35,50,normal,,0.6,11,3,0
301,Delcatty,70,65,65,55,55,90,normal,,1.1,32.6,3,0
302,Sableye,50,85,125,85,115,20,dark,ghost,0.5,11,3,0
303,Mawile,50,105,125,55,95,50,steel,fairy,0.6,11.5,3,0
304,Aron,50,70,100,40,40,30,steel,rock,0.4,60,3,0
305,Lairon,60,90,140,50,50,40,steel,rock,0.9,120,3,0
306,Aggron,70,140,230,60,80,50,steel,rock,2.1,360,3,0
307,Meditite,30,40,55,40,55,60,fighting,psychic,0.6,11.2,3,0
308,Medicham,60,100,85,80,85,100,fighting,psychic,1.3,31.5,3,0
309,Electrike,40,45,40,65,40,65,electric,,0.6,15.2,3,0
310,Manectric,70,75,80,135,80,135,electric,,1.5,40.2,3,0
311,Plusle,60,50,40,85,75,95,electric,,0.4,4.2,3,0
312,Minun,60,40,50,75,85,95,electric,,0.4,4.2,3,0
313,Volbeat,65,73,75,47,85,85,bug,,0.7,17.7,3,0
314,Illumise,65,47,75,73,85,85,bug,,0.6,17.7,3,0
315,Roselia,50,60,45,100,80,65,grass,poison,0.3,2,3,0
316,Gulpin,70,43,53,43,53,40,poison,,0.4,10.3,3,0
317,Swalot,100,73,83,73,83,55,poison,,1.7,80,3,0
318,Carvanha,45,90,20,65,20,65,water,dark,0.8,20.8,3,0
319,Sharpedo,70,140,70,110,65,105,water,dark,1.8,88.8,3,0
320,Wailmer,130,70,35,70,35,60,water,,2,130,3,0
321,Wailord,170,90,45,90,45,60,water,,14.5,398,3,0
322,Numel,60,60,40,65,45,35,fire,ground,0.7,24,3,0
323,Camerupt,70,120,100,145,105,20,fire,ground,1.9,220,3,0
324,Torkoal,70,85,140,85,70,20,fire,,0.5,80.4,3,0
325,Spoink,60,25,35,70,80,60,psychic,,0.7,30.6,3,0
326,Grumpig,80,45,65,90,110,80,psychic,,0.9,71.5,3,0
327,Spinda,60,60,60,60,60,60,normal,,1.1,5,3,0
328,Trapinch,45,100,45,45,45,10,ground,,0.7,15,3,0
329,Vibrava,50,70,50,50,50,70,ground,dragon,1.1,15.3,3,0
330,Flygon,80,100,80,80,80,100,ground,dragon,2,82,3,0
331,Cacnea,50,85,40,85,40,35,grass,,0.4,51.3,3,0
332,Cacturne,70,115,60,115,60,55,grass,dark,1.3,77.4,3,0
333,Swablu,45,40,60,40,75,50,normal,flying,0.4,1.2,3,0
334,Altaria,75,110,110,110,105,80,dragon,flying,1.1,20.6,3,0
335,Zangoose,73,115,60,60,60,90,normal,,1.3,40.3,3,0
336,Seviper,73,100,60,100,60,65,poison,,2.7,52.5,3,0
337,Lunatone,90,55,65,95,85,70,rock,psychic,1,168,3,0
338,Solrock,90,95,85,55,65,70,rock,psychic,1.2,154,3,0
339,Barboach,50,48,43,46,41,60,water,ground,0.4,1.9,3,0
340,Whiscash,110,78,73,76,71,60,water,ground,0.9,23.6,3,0
341,Corphish,43,80,65,50,35,35,water,,0.6,11.5,3,0
342,Crawdaunt,63,120,85,90,55,55,water,dark,1.1,32.8,3,0
343,Baltoy,40,40,55,40,70,55,ground,psychic,0.5,21.5,3,0
344,Claydol,60,70,105,70,120,75,ground,psychic,1.5,108,3,0
345,Lileep,66,41,77,61,87,23,rock,grass,1,23.8,3,0
346,Cradily,86,81,97,81,107,43,rock,grass,1.5,60.4,3,0
347,Anorith,45,95,50,40,50,75,rock,bug,0.7,12.5,3,0
348,Armaldo,75,125,100,70,80,45,rock,bug,1.5,68.2,3,0
349,Feebas,20,15,20,10,55,80,water,,0.6,7.4,3,0
350,Milotic,95,60,79,100,125,81,water,,6.2,162,3,0
351,Castform,70,70,70,70,70,70,normal,,0.3,0.8,3,0
352,Kecleon,60,90,70,60,120,40,normal,,1,22,3,0
353,Shuppet,44,75,35,63,33,45,ghost,,0.6,2.3,3,0
354,Banette,64,165,75,93,83,75,ghost,,1.1,12.5,3,0
355,Duskull,20,40,90,30,90,25,ghost,,0.8,15,3,0
356,Dusclops,40,70,130,60,130,25,ghost,,1.6,30.6,3,0
357,Tropius,99,68,83,72,87,51,grass,flying,2,100,3,0
358,Chimecho,75,50,80,95,90,65,psychic,,0.6,1,3,0
359,Absol,65,150,60,115,60,115,dark,,1.2,47,3,0
360,Wynaut,95,23,48,23,48,23,psychic,,0.6,14,3,0
361,Snorunt,50,50,50,50,50,50,ice,,0.7,16.8,3,0
362,Glalie,80,120,80,120,80,100,ice,,1.5,256.5,3,0
363,Spheal,70,40,50,55,50,25,ice,water,0.8,39.5,3,0
364,Sealeo,90,60,70,75,70,45,ice,water,1.1,87.6,3,0
365,Walrein,110,80,90,95,90,65,ice,water,1.4,150.6,3,0
366,Clamperl,35,64,85,74,55,32,water,,0.4,52.5,3,0
367,Huntail,55,104,105,94,75,52,water,,1.7,27,3,0
368,Gorebyss,55,84,105,114,75,52,water,,1.8,22.6,3,0
369,Relicanth,100,90,130,45,65,55,water,rock,1,23.4,3,0
370,Luvdisc,43,30,55,40,65,97,water,,0.6,8.7,3,0
371,Bagon,45,75,60,40,30,50,dragon,,0.6,42.1,3,0
372,Shelgon,65,95,100,60,50,50,dragon,,1.1,110.5,3,0
373,Salamence,95,145,130,120,90,120,dragon,flying,1.5,102.6,3,0
374,Beldum,40,55,80,35,60,30,steel,psychic,0.6,95.2,3,0
375,Metang,60,75,100,55,80,50,steel,psychic,1.2,202.5,3,0
376,Metagross,80,145,150,105,110,110,steel,psychic,1.6,550,3,0
377,Regirock,80,100,200,50,100,50,rock,,1.7,230,3,1
378,Regice,80,50,100,100,200,50,ice,,1.8,175,3,1
379,Registeel,80,75,150,75,150,50,steel,,1.9,205,3,1
380,Latias,80,100,120,140,150,110,dragon,psychic,1.4,40,3,1
381,Latios,80,130,100,160,120,110,dragon,psychic,2,60,3,1
382,Kyogre,100,150,90,180,160,90,water,,4.5,352,3,1
383,Groudon,100,180,160,150,90,90,ground,,3.5,950,3,1
384,Rayquaza,105,180,100,180,100,115,dragon,flying,7,206.5,3,1
385,Jirachi,100,100,100,100,100,100,steel,psychic,0.3,1.1,3,1
386,Deoxys,50,95,90,95,90,180,psychic,,1.7,60.8,3,1
387,Turtwig,55,68,64,45,55,31,grass,,0.4,10.2,4,0
388,Grotle,75,89,85,55,65,36,grass,,1.1,97,4,0
389,Torterra,95,109,105,75,85,56,grass,ground,2.2,310,4,0
390,Chimchar,44,58,44,58,44,61,fire,,0.5,6.2,4,0
391,Monferno,64,78,52,78,52,81,fire,fighting,0.9,22,4,0
392,Infernape,76,104,71,104,71,108,fire,fighting,1.2,55,4,0
