,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
311,260,Swampert,Water Ground,535,100,110,90,85,90,60
312,260,Swampert Mega Swampert,Water Ground,635,100,150,110,95,110,70
313,261,Poochyena,Dark,220,35,55,35,30,30,35
314,262,Mightyena,Dark,420,70,90,70,60,60,70
315,263,Zigzagoon,Normal,240,38,30,41,30,41,60
316,263,Zigzagoon Galarian Zigzagoon,Dark Normal,240,38,30,41,30,41,60
317,264,Linoone,Normal,420,78,70,61,50,61,100
318,264,Linoone Galarian Linoone,Dark Normal,420,78,70,61,50,61,100
319,265,Wurmple,Bug,195,45,45,35,20,30,20
320,266,Silcoon,Bug,205,50,35,55,25,25,15
321,267,Beautifly,Bug Flying,395,60,70,50,100,50,65
322,268,Cascoon,Bug,205,50,35,55,25,25,15
323,269,Dustox,Bug Poison,385,60,50,70,50,90,65
324,270,Lotad,Water Grass,220,40,30,30,40,50,30
325,271,Lombre,Water Grass,340,60,50,50,60,70,50
326,272,Ludicolo,Water Grass,480,80,70,70,90,100,70
327,273,Seedot,Grass,220,40,40,50,30,30,30
328,274,Nuzleaf,Grass Dark,340,70,70,40,60,40,60
329,275,Shiftry,Grass Dark,480,90,100,60,90,60,80
330,276,Taillow,Normal Flying,270,40,55,30,30,30,85
331,277,Swellow,Normal Flying,455,60,85,60,75,50,125
332,278,Wingull,Water Flying,270,40,30,30,55,30,85
333,279,Pelipper,Water Flying,440,60,50,100,95,70,65
334,280,Ralts,Psychic Fairy,198,28,25,25,45,35,40
335,281,Kirlia,Psychic Fairy,278,38,35,35,65,55,50
336,282,Gardevoir,Psychic Fairy,518,68,65,65,125,115,80
337,282,Gardevoir Mega Gardevoir,Psychic Fairy,618,68,85,65,165,135,100
338,283,Surskit,Bug Water,269,40,30,32,50,52,65
339,284,Masquerain,Bug Flying,454,70,60,62,100,82,80
340,285,Shroomish,Grass,295,60,40,60,40,60,35
341,286,Breloom,Grass Fighting,460,60,130,80,60,60,70
342,287,Slakoth,Normal,280,60,60,60,35,35,30
343,288,Vigoroth,Normal,440,80,80,80,55,55,90
344,289,Slaking,Normal,670,150,160,100,95,65,100
345,290,Nincada,Bug Ground,266,31,45,90,30,30,40
346,291,Ninjask,Bug Flying,456,61,90,45,50,50,160
347,292,Shedinja,Bug Ghost,236,1,90,45,30,30,40
348,293,Whismur,Normal,240,64,51,23,51,23,28
349,294,Loudred,Normal,360,84,71,43,71,43,48
350,295,Exploud,Normal,490,104,91,63,91,73,68
351,296,Makuhita,Fighting,237,72,60,30,20,30,25
352,297,Hariyama,Fighting,474,144,120,60,40,60,50
353,298,Azurill,Normal Fairy,190,50,20,40,20,40,20
354,299,Nosepass,Rock,375,30,45,135,45,90,30
355,300,Skitty,Normal,260,50,45,45,35,35,50
356,301,Delcatty,Normal,400,70,65,65,55,55,90
357,302,Sableye,Dark Ghost,380,50,75,75,65,65,50
358,302,Sableye Mega Sableye,Dark Ghost,480,50,85,125,85,115,20
359,303,Mawile,Steel Fairy,380,50,85,85,55,55,50
360,303,Mawile Mega Mawile,Steel Fairy,480,50,105,125,55,95,50
361,304,Aron,Steel Rock,330,50,70,100,40,40,30
362,305,Lairon,Steel Rock,430,60,90,140,50,50,40
363,306,Aggron,Steel Rock,530,70,110,180,60,60,50
364,306,Aggron Mega Aggron,Steel,630,70,140,230,60,80,50
365,307,Meditite,Fighting Psychic,280,30,40,55,40,55,60
366,308,Medicham,Fighting Psychic,410,60,60,75,60,75,80
367,308,Medicham Mega Medicham,Fighting Psychic,510,60,100,85,80,85,100
368,309,Electrike,Electric,295,40,45,40,65,40,65
369,310,Manectric,Electric,475,70,75,60,105,60,105
370,310,Manectric Mega Manectric,Electric,575,70,75,80,135,80,135
371,311,Plusle,Electric,405,60,50,40,85,75,95
372,312,Minun,Electric,405,60,40,50,75,85,95
373,313,Volbeat,Bug,430,65,73,75,47,85,85
374,314,Illumise,Bug,430,65,47,75,73,85,85
375,315,Roselia,Grass Poison,400,50,60,45,100,80,65
376,316,Gulpin,Poison,302,70,43,53,43,53,40
377,317,Swalot,Poison,467,100,73,83,73,83,55
378,318,Carvanha,Water Dark,305,45,90,20,65,20,65
379,319,Sharpedo,Water Dark,460,70,120,40,95,40,95
380,319,Sharpedo Mega Sharpedo,Water Dark,560,70,140,70,110,65,105
381,320,Wailmer,Water,400,130,70,35,70,35,60
382,321,Wailord,Water,500,170,90,45,90,45,60
383,322,Numel,Fire Ground,305,60,60,40,65,45,35
384,323,Camerupt,Fire Ground,460,70,100,70,105,75,40
385,323,Camerupt Mega Camerupt,Fire Ground,560,70,120,100,145,105,20
386,324,Torkoal,Fire,470,70,85,140,85,70,20
387,325,Spoink,Psychic,330,60,25,35,70,80,60
388,326,Grumpig,Psychic,470,80,45,65,90,110,80
389,327,Spinda,Normal,360,60,60,60,60,60,60
390,328,Trapinch,Ground,290,45,100,45,45,45,10
391,329,Vibrava,Ground Dragon,340,50,70,50,50,50,70
392,330,Flygon,Ground Dragon,520,80,100,80,80,80,100
393,331,Cacnea,Grass,335,50,85,40,85,40,35
394,332,Cacturne,Grass Dark,475,70,115,60,115,60,55
395,333,Swablu,Normal Flying,310,45,40,60,40,75,50
396,334,Altaria,Dragon Flying,490,75,70,90,70,105,80
397,334,Altaria Mega Altaria,Dragon Fairy,590,75,110,110,110,105,80
398,335,Zangoose,Normal,458,73,115,60,60,60,90
399,336,Seviper,Poison,458,73,100,60,100,60,65
400,337,Lunatone,Rock Psychic,460,90,55,65,95,85,70
401,338,Solrock,Rock Psychic,460,90,95,85,55,65,70
402,339,Barboach,Water Ground,288,50,48,43,46,41,60
403,340,Whiscash,Water Ground,468,110,78,73,76,71,60
404,341,Corphish,Water,308,43,80,65,50,35,35
405,342,Crawdaunt,Water Dark,468,63,120,85,90,55,55
406,343,Baltoy,Ground Psychic,300,40,40,55,40,70,55
407,344,Claydol,Ground Psychic,500,60,70,105,70,120,75
408,345,Lileep,Rock Grass,355,66,41,77,61,87,23
409,346,Cradily,Rock Grass,495,86,81,97,81,107,43
410,347,Anorith,Rock Bug,355,45,95,50,40,50,75
411,348,Armaldo,Rock Bug,495,75,125,100,70,80,45
412,349,Feebas,Water,200,20,15,20,10,55,80
413,350,Milotic,Water,540,95,60,79,100,125,81
414,351,Castform,Normal,420,70,70,70,70,70,70
415,351,Castform Sunny Form,Fire,420,70,70,70,70,70,70
416,351,Castform Rainy Form,Water,420,70,70,70,70,70,70
417,351,Castform Snowy Form,Ice,420,70,70,70,70,70,70
418,352,Kecleon,Normal,440,60,90,70,60,120,40
419,353,Shuppet,Ghost,295,44,75,35,63,33,45
420,354,Banette,Ghost,455,64,115,65,83,63,65
421,354,Banette Mega Banette,Ghost,555,64,165,75,93,83,75
422,355,Duskull,Ghost,295,20,40,90,30,90,25
423,356,Dusclops,Ghost,455,40,70,130,60,130,25
424,357,Tropius,Grass Flying,460,99,68,83,72,87,51
425,358,Chimecho,Psychic,455,75,50,80,95,90,65
426,359,Absol,Dark,465,65,130,60,75,60,75
427,359,Absol Mega Absol,Dark,565,65,150,60,115,60,115
428,360,Wynaut,Psychic,260,95,23,48,23,48,23
429,361,Snorunt,Ice,300,50,50,50,50,50,50
430,362,Glalie,Ice,480,80,80,80,80,80,80
431,362,Glalie Mega Glalie,Ice,580,80,120,80,120,80,100
432,363,Spheal,Ice Water,290,70,40,50,55,50,25
433,364,Sealeo,Ice Water,410,90,60,70,75,70,45
434,365,Walrein,Ice Water,530,110,80,90,95,90,65
435,366,Clamperl,Water,345,35,64,85,74,55,32
436,367,Huntail,Water,485,55,104,105,94,75,52
437,368,Gorebyss,Water,485,55,84,105,114,75,52
438,369,Relicanth,Water Rock,485,100,90,130,45,65,55
439,370,Luvdisc,Water,330,43,30,55,40,65,97
440,371,Bagon,Dragon,300,45,75,60,40,30,50
441,372,Shelgon,Dragon,420,65,95,100,60,50,50
442,373,Salamence,Dragon Flying,600,95,135,80,110,80,100
443,373,Salamence Mega Salamence,Dragon Flying,700,95,145,130,120,90,120
444,374,Beldum,Steel Psychic,300,40,55,80,35,60,30
445,375,Metang,Steel Psychic,420,60,75,100,55,80,50
446,376,Metagross,Steel Psychic,600,80,135,130,95,90,70
447,376,Metagross Mega Metagross,Steel Psychic,700,80,145,150,105,110,110
448,377,Regirock,Rock,580,80,100,200,50,100,50
449,378,Regice,Ice,580,80,50,100,100,200,50
450,379,Registeel,Steel,580,80,75,150,75,150,50
451,380,Latias,Dragon Psychic,600,80,80,90,110,130,110
452,380,Latias Mega Latias,Dragon Psychic,700,80,100,120,140,150,110
453,381,Latios,Dragon Psychic,600,80,90,80,130,110,110
